
FLOW_OUT_1
observed    simulated
3.4830        6.3370      
3.5113        5.9370      
3.5396        5.4640      
4.2192        6.2240      
5.3519        10.3300     
6.7677        19.5700     
10.4206       29.9100     
14.7814       36.9400     
13.4505       39.0900     
10.3356       37.1900     
8.4384        33.0400     
7.1925        28.2400     
6.4846        23.7700     
5.8050        20.0400     
5.2103        17.0800     
4.8422        14.7700     
4.4741        12.9200     
4.2758        11.4000     
4.2192        10.1000     
4.1059        8.9790      
3.9927        7.9970      
4.2192        7.7300      
4.5307        9.8940      
6.2580        15.6700     
25.9099       22.2800     
51.8198       26.8800     
44.4575       28.7700     
31.4317       28.5900     
33.6970       27.1300     
48.4218       25.1300     
43.6079       23.0800     
31.4317       21.2400     
23.2481       19.6900     
18.8873       18.7800     
17.8396       18.2000     
33.4139       17.7300     
46.4396       17.2400     
36.2456       16.6700     
24.5790       16.0100     
18.4060       15.3000     
15.1495       14.5400     
13.0541       13.7700     
11.8081       12.9900     
10.8170       12.2000     
9.8259        11.4200     
9.1180        10.6400     
8.0420        9.8820      
7.5323        9.1410      
7.1358        8.4270      
7.5323        7.7520      
8.0137        7.5480      
8.3535        7.4750      
8.9198        7.5290      
9.4012        7.6220      
10.2507       7.9600      
13.2523       9.0420      
23.1349       10.5200     
35.9624       11.7800     
33.1307       12.5000     
25.0038       12.6800     
19.0289       12.4700     
16.0840       12.0200     
13.9885       11.4400     
12.4311       10.7800     
12.0063       10.0900     
11.7515       9.3890      
11.4400       8.6810      
10.7604       7.9810      
10.0525       7.2970      
9.5994        6.6470      
9.3162        6.0430      
9.4012        5.5000      
9.4861        5.0250      
9.3162        4.6400      
9.1747        4.3290      
8.8915        4.0560      
8.3818        3.8050      
8.6650        3.5710      
8.8349        3.3590      
8.8349        3.2510      
8.9481        3.2610      
8.8349        3.9670      
8.6650        5.0240      
8.1836        5.8490      
7.7871        6.3960      
7.2208        6.6370      
6.5695        6.6050      
5.9465        6.3450      
5.7766        5.9240      
5.4935        5.4250      
5.1820        4.9140      
5.0404        4.4330      
4.8988        4.0040      
4.9271        3.6340      
5.0687        3.3170      
4.7572        3.0520      
5.2669        2.8250      
5.4085        2.6330      
5.4935        2.4640      
5.2953        2.3190      
4.9838        2.1880      
4.8988        2.0700      
5.1253        1.9600      
4.9554        1.8550      
4.9271        1.7630      
5.0404        1.6880      
4.6156        1.6210      
4.4457        1.5490      
4.7289        1.4830      
4.8139        1.4210      
4.5590        1.3660      
4.5307        1.3170      
4.9838        1.2690      
4.5590        1.2300      
4.6440        1.1860      
4.8422        1.1440      
4.3042        1.1010      
4.1343        1.0600      
3.8794        1.0200      
3.3980        0.9802      
3.0016        0.9455      
3.2281        0.9135      
3.5679        0.8848      
3.7095        0.8552      
3.5396        0.8217      
3.5396        0.7919      
3.9927        0.7627      
3.9927        0.7386      
4.4457        0.7147      
4.1626        0.6911      
4.1343        0.6732      
4.3891        0.6527      
4.4174        0.6321      
3.9927        0.6139      
3.8511        0.5938      
3.7661        0.5718      
3.5962        0.5504      
3.3131        0.5319      
3.3697        0.5185      
3.3980        0.5008      
3.5396        0.4833      
3.9927        0.4723      
3.9644        0.4600      
3.6529        0.4521      
3.3980        0.4461      
3.3697        0.4606      
3.8228        0.4792      
4.4174        0.4940      
4.7855        0.5131      
4.5307        0.5402      
4.3042        0.5718      
4.4174        0.5997      
4.1909        0.6195      
3.9360        0.6377      
3.9077        0.6471      
3.9077        0.6434      
3.7661        0.6304      
4.0210        0.6043      
3.8228        0.5744      
3.5962        0.5338      
3.3414        0.4975      
3.1998        0.4634      
2.8317        0.4342      
2.8147        0.4064      
3.1715        0.3806      
2.9166        0.3565      
2.3022        0.3386      
2.7666        0.3216      
3.2281        0.3080      
2.9166        0.2939      
2.1747        0.2762      
2.4466        0.2644      
3.2281        0.2484      
3.5113        0.2421      
4.0776        0.2347      
4.2758        0.2329      
3.9644        0.2302      
3.3980        0.2265      
2.8883        0.2201      
3.1715        0.2141      
3.8228        0.2096      
3.5396        0.2103      
3.4830        0.2141      
3.0582        0.2136      
3.1715        0.2133      
3.6529        0.2157      
3.6529        0.2181      
3.7661        0.2166      
4.1626        0.2136      
4.2475        0.2092      
4.4457        0.2052      
3.8228        0.2018      
3.4547        0.1983      
3.3414        0.1986      
3.1715        0.1970      
3.3131        0.1948      
3.3414        0.1931      
3.3414        0.1924      
3.3414        0.1856      
3.3131        0.1814      
3.1715        0.1804      
3.2281        0.1795      
3.1149        0.1788      
2.4749        0.1772      
2.1464        0.1787      
2.6618        0.1766      
2.8883        0.1738      
2.8883        0.1716      
2.6986        0.1702      
2.6844        0.1697      
2.7552        0.1690      
2.7071        0.1680      
2.4296        0.1665      
2.8600        0.1681      
3.1998        0.1698      
3.6812        0.1713      
3.4830        0.1694      
3.0582        0.1675      
2.8600        0.1650      
2.7241        0.1616      
2.8600        0.1618      
2.7524        0.1611      
2.3560        0.1629      
2.3616        0.1642      
2.8232        0.1616      
2.8062        0.1566      
2.3446        0.1520      
1.9284        0.1483      
2.1917        0.1450      
2.6505        0.1457      
2.6136        0.1434      
2.1096        0.1433      
1.7726        0.1469      
1.6764        0.1485      
1.5234        0.1490      
1.8887        0.1448      
1.9171        0.1417      
2.0048        0.1403      
1.8944        0.1421      
1.4442        0.1398      
1.3337        0.1429      
1.6027        0.1455      
2.1068        0.1464      
1.8717        0.1471      
1.4753        0.1482      
1.6622        0.1506      
1.3649        0.1524      
1.0732        0.1492      
1.0477        0.1476      
0.9911        0.1456      
1.1327        0.1432      
1.1157        0.1425      
1.1044        0.1441      
1.2120        0.1435      
1.2743        0.1471      
1.1327        0.1470      
1.1582        0.1420      
1.2233        0.1408      
1.3507        0.1367      
1.3451        0.1354      
1.2233        0.1380      
0.9430        0.1397      
0.9883        0.1402      
1.3620        0.1389      
1.6679        0.1401      
1.7160        0.1433      
1.7613        0.1448      
1.6169        0.1411      
1.6424        0.1377      
1.6084        0.1361      
1.4498        0.1304      
1.3989        0.1288      
1.6197        0.1298      
1.7358        0.1310      
1.4243        0.1317      
1.4470        0.1344      
1.5008        0.1387      
1.3790        0.1838      
1.3026        0.2507      
1.2714        0.3134      
1.1638        0.3554      
1.1270        0.3732      
1.1525        0.3675      
1.0251        0.3486      
0.9486        0.3259      
0.8693        0.3039      
0.8976        0.2822      
1.0222        0.2621      
1.1667        0.2438      
1.2374        0.2293      
1.1780        0.2197      
1.0789        0.2115      
1.0959        0.2034      
1.2686        0.1967      
1.4611        0.1915      
1.4555        0.1873      
1.4555        0.1798      
1.5263        0.1745      
1.7245        0.1709      
1.4668        0.1680      
1.4640        0.1668      
1.7047        0.1655      
1.8491        0.1639      
1.9765        0.1715      
